"X_id","blueWins"
"KR_5515836619",0
"KR_5513870067",1
"KR_5510785333",1
"KR_5511398866",1
"KR_5514180390",0
"KR_5517573387",0
"KR_5515837229",0
"KR_5516112983",0
"KR_5513649363",1
"KR_5517099698",0
"KR_5514690861",1
"KR_5516614475",0
"KR_5516224405",1
"KR_5514442379",1
"KR_5517267244",1
"KR_5503425592",0
"KR_5511009216",0
"KR_5516836423",1
"KR_5516614036",1
"KR_5513858446",1
"KR_5513830349",0
"KR_5477724774",0
"KR_5511312156",1
"KR_5517319952",1
"KR_5505748844",1
"KR_5517646427",1
"KR_5512785191",1
"KR_5517249625",0
"KR_5505860753",1
"KR_5510448390",0
"KR_5503167654",1
"KR_5515286500",1
"KR_5515423714",0
"KR_5506904248",0
"KR_5508084650",0
"KR_5516406394",0
"KR_5516459811",0
"KR_5514518648",0
"KR_5516324873",1
"KR_5514600577",0
"KR_5455188409",1
"KR_5517072293",0
"KR_5517530255",1
"KR_5517402282",0
"KR_5517473182",1
"KR_5512890095",1
"KR_5517623378",1
"KR_5516847824",1
"KR_5517286161",1
"KR_5517110685",0
"KR_5510747087",1
"KR_5503655694",0
"KR_5515129857",0
"KR_5505759143",1
"KR_5490288328",0
"KR_5502073979",1
"KR_5508985011",1
"KR_5501122246",0
"KR_5507431391",1
"KR_5512173464",1
"KR_5516125788",0
"KR_5512981933",0
"KR_5514535888",1
"KR_5517127343",1
"KR_5515186358",0
"KR_5517215813",0
"KR_5517523267",0
"KR_5504654596",1
"KR_5515438418",0
"KR_5513792534",0
"KR_5513817496",1
"KR_5513725059",1
"KR_5513700177",0
"KR_5517435537",0
"KR_5515915305",1
"KR_5512523792",1
"KR_5510442009",1
"KR_5512126651",0
"KR_5515143941",0
"KR_5514764571",0
"KR_5515941847",1
"KR_5506580426",0
"KR_5512629782",1
"KR_5514578647",1
"KR_5515014545",1
"KR_5517037955",0
"KR_5381099004",1
"KR_5513519377",1
"KR_5517156169",0
"KR_5507600602",0
"KR_5514862413",1
"KR_5517224098",1
"KR_5506183331",0
"KR_5514694236",0
"KR_5490033689",0
"KR_5511453210",0
"KR_5504534399",1
"KR_5516058373",1
"KR_5517370857",1
"KR_5513454228",1
"KR_5504092775",0
"KR_5516451700",0
"KR_5466283662",0
"KR_5356558223",0
"KR_5490340412",1
"KR_5515916121",1
"KR_5516539085",1
"KR_5512058977",1
"KR_5517209514",0
"KR_5513387689",1
"KR_5468776514",0
"KR_5517020170",0
"KR_5474576555",0
"KR_5515955219",0
"KR_5517346059",1
"KR_5516956354",0
"KR_5509647060",1
"KR_5517684281",0
"KR_5508780256",0
"KR_5510431943",0
"KR_5507567727",1
"KR_5514437191",0
"KR_5515074332",0
"KR_5507477149",1
"KR_5506271813",1
"KR_5516028799",1
"KR_5517281446",1
"KR_5510185314",0
"KR_5515182732",0
"KR_5517095856",0
"KR_5508718603",1
"KR_5511011526",1
"KR_5515912889",0
"KR_5517457852",1
"KR_5516489854",1
"KR_5517545197",1
"KR_5510767064",0
"KR_5515642227",1
"KR_5517403752",0
"KR_5515610131",0
"KR_5517385307",1
"KR_5517347636",1
"KR_5517363788",0
"KR_5514913086",1
"KR_5513629441",0
"KR_5516442620",0
"KR_5517043270",1
"KR_5513450894",1
"KR_5515184231",1
"KR_5517026464",0
"KR_5517264041",0
"KR_5517321197",1
"KR_5516859602",1
"KR_5517266833",1
"KR_5517470068",0
"KR_5516017557",0
"KR_5504707597",1
"KR_5511441382",1
"KR_5517333988",1
"KR_5515241961",0
"KR_5516032759",1
"KR_5508860906",1
"KR_5516833622",1
"KR_5355787995",1
"KR_5514733089",0
"KR_5517520807",1
"KR_5509582516",0
"KR_5508303430",0
"KR_5474479682",0
"KR_5502204215",1
"KR_5477109971",1
"KR_5510715649",0
"KR_5514420793",0
"KR_5392620395",0
"KR_5489303771",1
"KR_5516482758",0
"KR_5515726173",1
"KR_5516040435",1
"KR_5513971847",1
"KR_5517547666",1
"KR_5517208363",1
"KR_5495691434",1
"KR_5505739405",1
"KR_5517557690",0
"KR_5516971133",0
"KR_5516599294",1
"KR_5510346042",1
"KR_5516107026",1
"KR_5516588742",0
"KR_5511031596",0
"KR_5517000041",0
"KR_5469128580",0
"KR_5517518051",1
"KR_5508795589",0
"KR_5512190289",0
"KR_5513963444",1
"KR_5515626493",1
"KR_5516406098",0
"KR_5517486632",0
"KR_5517627760",1
"KR_5509519107",0
"KR_5512383747",0
"KR_5493382226",1
"KR_5513536823",1
"KR_5516082202",1
"KR_5509353705",1
"KR_5509752868",1
"KR_5517321509",0
"KR_5514028805",1
"KR_5514173283",1
"KR_5516203767",1
"KR_5516997932",0
"KR_5511265461",0
"KR_5517341524",1
"KR_5516461122",0
"KR_5510234534",1
"KR_5511134343",1
"KR_5511297043",1
"KR_5516296877",0
"KR_5516557515",1
"KR_5514099874",1
"KR_5511386123",0
"KR_5514420918",0
"KR_5507838067",1
"KR_5477234556",1
"KR_5511260603",1
"KR_5508271913",1
"KR_5507921307",1
"KR_5498365949",1
"KR_5513699688",0
"KR_5513900664",0
"KR_5517131031",1
"KR_5413746287",0
"KR_5515404871",0
"KR_5513496399",0
"KR_5505022461",0
"KR_5515741357",0
"KR_5516234856",0
"KR_5513989802",0
"KR_5515463745",1
"KR_5511908758",1
"KR_5516291647",1
"KR_5511435159",0
"KR_5517510920",1
"KR_5507443804",1
"KR_5510080548",0
"KR_5517269594",0
"KR_5516177709",0
"KR_5511484202",0
"KR_5514025406",1
"KR_5509202163",0
"KR_5516620277",1
"KR_5460023338",1
"KR_5513099435",0
"KR_5513255227",1
"KR_5510378238",1
"KR_5515818590",0
"KR_5509822336",1
"KR_5516534579",0
"KR_5513867908",1
"KR_5514817382",0
"KR_5510115177",0
"KR_5516624575",0
"KR_5517403279",0
"KR_5516115858",1
"KR_5511164822",1
"KR_5509490710",1
"KR_5514629360",0
"KR_5515211416",0
"KR_5512525891",1
"KR_5506117500",0
"KR_5512426052",1
"KR_5496683656",0
"KR_5491142414",1
"KR_5507547364",0
"KR_5511388464",1
"KR_5516430386",0
"KR_5503036378",1
"KR_5511438427",0
"KR_5447463295",0
"KR_5512832116",1
"KR_5507644652",1
"KR_5489970274",1
"KR_5515610324",1
"KR_5510046658",1
"KR_5512726653",0
"KR_5508777177",0
"KR_5517446312",0
"KR_5512342759",0
"KR_5517622223",0
"KR_5481334627",0
"KR_5441357441",0
"KR_5509188216",1
"KR_5494941629",1
"KR_5512034688",1
"KR_5514697829",0
"KR_5515144794",1
"KR_5508324279",0
"KR_5509521798",1
"KR_5509224173",1
"KR_5510120406",0
"KR_5504988121",0
"KR_5513201269",0
"KR_5516777544",0
"KR_5336752498",1
"KR_5423697545",1
"KR_5404552035",0
"KR_5189663410",0
"KR_5513044261",0
"KR_5515166393",1
"KR_5515001813",1
"KR_5515118648",1
"KR_5517158738",0
"KR_5512861905",0
"KR_5514708502",0
"KR_5504940096",0
"KR_5513038424",1
"KR_5511324028",0
"KR_5512863053",0
"KR_5513274753",0
"KR_5506581238",0
"KR_5515826379",1
"KR_5514933996",0
"KR_5471783395",0
"KR_5513548692",1
"KR_5517290509",0
"KR_5481583524",0
"KR_5448325301",0
"KR_5514373897",1
"KR_5443842490",0
"KR_5505900069",1
"KR_5509994005",1
"KR_5513464308",1
"KR_5493483266",1
"KR_5492800219",1
"KR_5510162009",0
"KR_5517332417",1
"KR_5507871636",0
"KR_5512232226",0
"KR_5511871616",0
"KR_5517288522",1
"KR_5515094042",1
"KR_5510726302",0
"KR_5517209041",1
"KR_5515877181",0
"KR_5515135226",0
"KR_5515157147",0
"KR_5517524887",0
"KR_5513167585",1
"KR_5512441972",0
"KR_5512560935",0
"KR_5514719214",1
"KR_5513481994",1
"KR_5498028741",1
"KR_5515011448",0
"KR_5460678522",1
"KR_5513607457",0
"KR_5517556711",0
"KR_5517453566",0
"KR_5516494695",1
"KR_5429784227",0
"KR_5511028916",0
"KR_5516045936",1
"KR_5517171211",0
"KR_5516775571",1
"KR_5516476238",1
"KR_5495480374",0
"KR_5516853634",0
"KR_5517657198",0
"KR_5515099574",1
"KR_5514855430",0
"KR_5506772211",0
"KR_5513892155",0
"KR_5515842287",0
"KR_5516799578",1
"KR_5517325031",0
"KR_5516443736",1
"KR_5511226545",1
"KR_5516165262",1
"KR_5507502148",1
"KR_5514837822",1
"KR_5517249010",0
"KR_5511408553",1
"KR_5517492657",0
"KR_5479139440",0
"KR_5517441392",1
"KR_5517131751",0
"KR_5517234740",1
"KR_5517207493",1
"KR_5516456931",0
"KR_5516191121",1
"KR_5504816265",0
"KR_5511021153",0
"KR_5511047567",0
"KR_5515958032",0
"KR_5517427298",1
"KR_5511097349",1
"KR_5471839197",1
"KR_5475444362",0
"KR_5514657668",1
"KR_5517044557",1
"KR_5449505024",0
"KR_5517414922",1
"KR_5488770488",1
"KR_5513445191",0
"KR_5502977642",0
"KR_5517001886",1
